2010,2011,2012,2013,2014,2015,average,Average 2010-2015,Stop ID,Stop Name,
1878788,1937333,2041551,2148667,2188428,2266986,2076958.833,"2,076,958.83",101,Van Cortlandt Park - 242 St,
1067352,902601,1106353,1092492,1209623,1240616,1103172.833,"1,103,172.83",103,238 St,
2660882,2731068,2829503,2757855,2912283,2966015,2809601,"2,809,601.00",104,231 St,
1769012,1476489,1721707,1725406,1846582,1809998,1724865.667,"1,724,865.67",106,Marble Hill - 225 St,
582955,583486,599790,638224,626312,615177,607657.3333,"607,657.33",107,215 St,
1875395,2054287,2205288,1966949,2049587,2090297,2040300.5,"2,040,300.50",108,207 St,
2237661,1212678,1231954,2094538,2298848,2317843,1898920.333,"1,898,920.33",109,Dyckman St,
2344317,2318562,2512719,2598961,2700904,2713440,2531483.833,"2,531,483.83",110,191 St,
3429260,3171483,3496979,3608658,3751020,3779275,3539445.833,"3,539,445.83",111,181 St,
3238373,3259408,3381015,3458058,3481873,3516545,3389212,"3,389,212.00",113,157 St,
3115174,3138419,3289827,3274106,3364151,3338110,3253297.833,"3,253,297.83",114,145 St,
4436971,4546654,4634498,4825267,4542044,4646578,4605335.333,"4,605,335.33",115,137 St - City College,
2358252,2438449,2560513,2649847,2578729,2555321,2523518.5,"2,523,518.50",116,125 St,
4774192,4932065,4942022,5044561,4917691,4846181,4909452,"4,909,452.00",117,116 St - Columbia University,
4220891,4440822,4491643,4557743,4301285,4280482,4382144.333,"4,382,144.33",118,Cathedral Pkwy,
4167100,4302101,4366343,4427199,4199559,4258632,4286822.333,"4,286,822.33",119,103 St,
11526582,11784341,12108040,12582947,13108304,13008596,12353135,"12,353,135.00",120,96 St,
5910540,6128225,6219513,6333352,6519979,6464625,6262705.667,"6,262,705.67",121,86 St,
5113161,5330857,5292422,5438078,5601595,5534255,5385061.333,"5,385,061.33",122,79 St,
12136784,12784301,13043031,13456906,13375012,13341361,13022899.17,"13,022,899.17",123,72 St,
6783446,7089390,7367599,7527781,7772308,7790234,7388459.667,"7,388,459.67",124,66 St - Lincoln Center,
7465528,7647852,7927578,8074270,8450496,8266677,7972066.833,"7,972,066.83",126,50 St,
26892243,26758623,27010176,27730331,28638643,28309160,27556529.33,"27,556,529.33",128,34 St - Penn Station,
3941656,4093901,4346501,4548738,4666347,4665377,4377086.667,"4,377,086.67",129,28 St,
4517687,4622230,4654520,4818903,4883773,4884678,4730298.5,"4,730,298.50",130,23 St,
2435685,2497134,2533877,2585522,2622558,2676304,2558513.333,"2,558,513.33",131,18 St,
3454080,3471186,3435088,3433544,3480159,3363949,3439667.667,"3,439,667.67",133,Christopher St - Sheridan Sq,
3966857,4225089,4287926,4510538,4562690,4377409,4321751.5,"4,321,751.50",134,Houston St,
1720337,1785923,1727415,1787110,1859071,1830920,1785129.333,"1,785,129.33",135,Canal St,
1719780,1777323,1714218,1703889,1745841,1731354,1732067.5,"1,732,067.50",136,Franklin St,
6273448,6554728,6603287,6755281,6973674,7054771,6702531.5,"6,702,531.50",137,Chambers St,
0,0,0,0,0,0,0,0.00,138,Cortlandt St,
2366733,2636681,3055453,3398383,3393420,3042815,2982247.5,"2,982,247.50",139,Rector St,
1471501,1560698,1603076,1528793,1669608,1654707,1581397.167,"1,581,397.17",201,Wakefield - 241 St,
1001851,1025004,1086227,1195804,1183733,1162973,1109265.333,"1,109,265.33",204,Nereid Av,
1614436,1655372,1674406,1719181,1803693,1762923,1705001.833,"1,705,001.83",205,233 St,
1283398,1336790,1382626,1400377,1445591,1439495,1381379.5,"1,381,379.50",206,225 St,
1024424,1032343,1063058,1099491,1124522,1108859,1075449.5,"1,075,449.50",207,219 St,
2101823,2176939,2235325,2304780,2477798,2449555,2291036.667,"2,291,036.67",208,Gun Hill Rd,
1060008,1036169,1086792,1133298,1158787,1139826,1102480,"1,102,480.00",209,Burke Av,
1668896,1602390,1689145,1747352,1829712,1821628,1726520.5,"1,726,520.50",210,Allerton Av,
2703568,2701431,2882651,3028494,3084862,3066190,2911199.333,"2,911,199.33",211,Pelham Pkwy,
888162,826356,860554,914831,933109,877311,883387.1667,"883,387.17",212,Bronx Park East,
1852836,2164608,2098429,2152570,2445421,2368031,2180315.833,"2,180,315.83",213,E 180 St,
2520377,2391352,2428999,2514240,2567773,2437882,2476770.5,"2,476,770.50",214,West Farms Sq - E Tremont Av,
2239254,2161875,2152009,2301756,2374812,2313651,2257226.167,"2,257,226.17",215,174 St,
1332285,1348014,1393186,1486965,1517066,1492757,1428378.833,"1,428,378.83",216,Freeman St,
3057192,2901513,2810789,3027856,3121036,3048014,2994400,"2,994,400.00",217,Simpson St,
908596,902216,937280,1048501,1095221,1039265,988513.1667,"988,513.17",218,Intervale Av,
2326054,2209945,2125066,2311798,2445131,2394820,2302135.667,"2,302,135.67",219,Prospect Av,
1624212,1573302,1520612,1686061,1753555,1731638,1648230,"1,648,230.00",220,Jackson Av,
7239167,7232070,7525904,7310115,7763151,7363663,7405678.333,"7,405,678.33",221,3 Av - 149 St,
4043860,4344677,4477110,4672352,4932623,4949583,4570034.167,"4,570,034.17",224,135 St,
4317843,4518487,4635697,4917465,5103216,5121518,4769037.667,"4,769,037.67",225,125 St,
3225207,3439949,3584234,3715803,3845140,3948545,3626479.667,"3,626,479.67",226,116 St,
2532019,2724841,2808386,2932790,3110140,3188551,2882787.833,"2,882,787.83",227,Central Park North (110 St),
6919577,7016078,7034940,7473489,7845023,7650853,7323326.667,"7,323,326.67",230,Wall St,
1711829,1754204,1855650,1972314,2018876,1997148,1885003.5,"1,885,003.50",231,Clark St,
1839662,1922916,1978582,2033085,2181465,2249892,2034267,"2,034,267.00",233,Hoyt St,
3566500,3524471,3454621,3477861,3580156,3310625,3485705.667,"3,485,705.67",234,Nevins St,
1265510,1326721,1397036,1296199,1236513,1210571,1288758.333,"1,288,758.33",236,Bergen St,
2369355,2417351,2507555,2556750,2505721,2433907,2465106.5,"2,465,106.50",237,Grand Army Plaza,
1590190,1568924,1578613,1674856,1665524,1676659,1625794.333,"1,625,794.33",238,Eastern Pkwy - Brooklyn Museum,
1130601,1133831,1142008,1216019,1221048,1243976,1181247.167,"1,181,247.17",241,President St,
1743151,1787824,1803628,1866122,1785975,1822524,1801537.333,"1,801,537.33",242,Sterling St,
2110081,2173945,2171267,2275444,2263671,2241716,2206020.667,"2,206,020.67",243,Winthrop St,
2994162,3057877,2987887,3059215,3020066,3070551,3031626.333,"3,031,626.33",244,Church Av,
1231592,1276466,1274789,1364573,1360719,1392643,1316797,"1,316,797.00",245,Beverly Rd,
2347178,2352060,2279365,2393978,2431300,2476287,2380028,"2,380,028.00",246,Newkirk Av,
6335954,6547958,6384496,6562226,6447908,6487608,6461025,"6,461,025.00",247,Flatbush Av - Brooklyn College,
1290482,1324424,1313227,1327377,1358826,1386067,1333400.5,"1,333,400.50",248,Nostrand Av,
1485344,1519113,1515277,1545567,1564089,1573003,1533732.167,"1,533,732.17",249,Kingston Av,
8498343,8438284,8469613,8534705,8690082,8965908,8599489.167,"8,599,489.17",250,Crown Hts - Utica Av,
2317306,2370949,2288256,2419794,2467381,2420464,2380691.667,"2,380,691.67",251,Sutter Av - Rutland Rd,
1699652,1743578,1676421,1777399,1791700,2442282,1855172,"1,855,172.00",252,Saratoga Av,
1787382,1792136,1682755,1753354,1763824,526505,1550992.667,"1,550,992.67",253,Rockaway Av,
672366,678990,660013,690625,727369,928235,726266.3333,"726,266.33",254,Junius St,
1805195,1805956,1690851,1752108,1746438,2111790,1818723,"1,818,723.00",255,Pennsylvania Av,
1023416,1061359,1016466,1060055,1048755,304082,919022.1667,"919,022.17",256,Van Siclen Av,
1885350,1954353,1857630,1975478,2038532,2155220,1977760.5,"1,977,760.50",257,New Lots Av,
989568,1101666,1110842,1171372,1209633,1269910,1142165.167,"1,142,165.17",301,Harlem - 148 St,
873390,981914,1014623,1073259,1114674,1137484,1032557.333,"1,032,557.33",302,145 St,
2379276,2494092,2417765,2423278,2375663,2418890,2418160.667,"2,418,160.67",401,Woodlawn,
